Country Code,Indicator Name,2015,2016,2017,2018,2019,2020,2021,2022,2023
DMA,"Personal remittances, paid (current US$)",24805920.9185186,21161683.9740741,20317892.4577778,14322031.001216,25718457.7518519,13328885.2592593,12361193.4407407,12217742.1740741,12708226.6687446
DMA,"Current account balance (BoP, current US$)",-38297880.6834389,-51790962.1357644,-57518337.0548582,-258814062.518553,-233190596.764127,-188630922.621141,-182647499.91368,-162036145.107784,-221939375.883426
DMA,Current account balance (% of GDP),-7.08253329442565,-8.98790334142535,-11.0283065529593,-46.6524667396649,-38.1318845206761,-37.4108251242916,-32.8936546848986,-26.687585281244,-33.9360687563145
DMA,"Net financial account (BoP, current US$)",28317171.7450444,95026479.2148059,305630051.896844,-123611235.27649,-235406524.700289,-38027556.497853,-62496094.4483574,-80989480.5008148,-20046864.59321
DMA,"Net primary income (BoP, current US$)",-22093218.2771873,-20466105.3498877,3196212.78011345,1408762.21385471,-9495748.38662711,8673653.43880574,502083.660589141,1949073.64770764,1797834.60099905
DMA,"Net trade in goods and services (BoP, current US$)",-66194194.7127118,-68034258.7085718,-115047725.609502,-280820613.878301,-231777176.913696,-203662782.412254,-196019473.133875,-176941048.59016,-229068037.576204
DMA,"Net trade in goods (BoP, current US$)",-160480196.292593,-162561430.507407,-161253134.740741,-272947446.303704,-259758361.593188,-172156988.67256,-181214578.196414,-209078101.658319,-242305457.170963
DMA,"Net errors and omissions (BoP, current US$)",11400772.3988535,-139453.292148047,-3205756.06876417,-12015329.8520211,-62003329.7509759,34883584.1566216,-41221288.3087511,-49912446.2522893,24278476.0497014
DMA,"Foreign direct investment, net (BoP, current US$)",-18664593.2496296,-41382233.847963,-23740834.3233986,-78227491.5843396,-62985652.6853796,-23223653.5629025,-26008317.0689605,-18377103.0737769,-21486771.3747783
DMA,"Portfolio investment, net (BoP, current US$)",-28840333.5783904,-15682884.6856111,19695201.573838,6716625.20437837,-2507286.00732787,-7415321.55395296,15626552.1425667,-4038095.36747444,-11254310.9639379
DMA,"Reserves and related items (BoP, current US$)",18395559.4195346,97278474.0171904,-8492378.46502314,-19439988.2877329,-34708717.9395465,-2806904.49413827,17406628.7362966,17105379.7245349,-18579958.773726
DMA,"Net secondary income (BoP, current US$)",49989532.3064604,36709401.9226952,54333175.77453,20597789.1458945,8082328.53619552,6358206.35230704,12869889.5596051,12955829.8346676,5330827.09177881
DMA,"Net capital account (BoP, current US$)",55214280.0296296,146956894.642719,366354145.020467,147218157.094084,59787401.8148148,115719781.966667,161372693.774074,130959110.859259,177614035.240515
DMA,"Grants, excluding technical cooperation (BoP, current US$)",5750000.0,14590000.0,18570000.0,30230000.0,46880000.0,38890000.0,37100000.0,20210000.0,20210000.0
DMA,"Technical cooperation grants (BoP, current US$)",910000.0,510000.0,1080000.0,1460000.0,2020000.0,3530000.0,1140000.0,2150000.0,2150000.0
DMA,"ICT service exports (BoP, current US$)",3516298.48518518,3682763.70486593,3220122.04743237,2738935.28490028,3043442.54415954,2935178.51719658,2979206.19495453,3039088.23947311,3115395.18653393
DMA,"ICT service exports (% of service exports, BoP)",1.55986416502236,1.56073197378217,1.64229897266379,2.00984497607033,1.67694365725882,3.53065952416716,3.09154929509048,2.04104494061321,1.92451893029485
DMA,"Communications, computer, etc. (% of service exports, BoP)",8.50853112780569,14.2860488770274,15.1577225668745,29.7886983637121,22.0310711853677,50.5308596126461,66.959688655199,43.3310897765715,35.4874289816281
DMA,"Primary income receipts (BoP, current US$)",9981964.46659167,12700524.3064586,14920320.5129427,11755562.6481798,16147880.8890104,12375846.7809411,8700604.61182222,7659226.0350463,8242550.58537667
DMA,"Exports of goods and services (BoP, current US$)",260299921.94684,261388784.026436,209081675.936757,147846672.420143,202670740.185611,98622132.361053,117709422.825142,174041430.967538,185061892.41804
DMA,"Insurance and financial services (% of service exports, BoP)",1.66805384334101,1.70347339534087,2.35043682337755,4.19544755152278,2.46775072823259,6.57177226031133,5.85097225387639,4.96615171585011,4.62532229986764
DMA,"Goods exports (BoP, current US$)",34876544.4481481,25424905.1074074,13007629.6740741,11570724.8962963,21183274.5223678,15488131.5573661,21343299.869068,25142786.9935331,23182726.7994074
DMA,"Service exports (BoP, current US$)",225423377.498692,235963878.919029,196074046.262683,136275947.523847,181487465.663243,83134000.803687,96366122.9560741,148898643.974005,161879165.618632
DMA,"Charges for the use of intellectual property, receipts (BoP, current US$)",0.0,94.8148148148148,71.1111111111111,71.1111111111111,71.1111111111111,71.1111111111111,0.0,0.0,0.0
DMA,"Exports of goods, services and primary income (BoP, current US$)",270281886.413432,274089308.332895,224001996.4497,159602235.068323,218818621.074621,110997979.141994,126410027.436964,181700657.002584,193304443.003417
DMA,"Transport services (% of service exports, BoP)",0.320805613545319,0.330964039395695,0.42638439557523,1.1179787257165,0.925329132683251,0.941544766664472,0.989208255247827,1.1861749583347,1.34542675647447
DMA,"Travel services (% of service exports, BoP)",89.5026094153082,83.6795136882358,82.0654562141728,64.8978753590487,74.5758489537169,41.9558233603779,26.2001308356768,50.5165835492437,58.54182196203
DMA,"Foreign direct investment, net inflows (BoP, current US$)",7160376.50888889,42264926.1072222,22677207.693769,78283172.0287841,63039788.6853796,22837135.9999395,28338715.1282197,17653772.958962,20691116.4076457
DMA,"Foreign direct investment, net inflows (% of GDP)",1.32418828718005,7.33473669765782,4.34802553442194,14.1109143908535,10.3084171305166,4.52924732255775,5.1036226068351,2.90760170247585,3.16381510157796
DMA,"Secondary income receipts (BoP, current US$)",73928724.8715555,58297166.8528148,77707394.7409022,51611933.338037,48804308.7493663,35267823.427037,45138342.9674074,41681963.8757407,38604916.4132044
DMA,"Personal transfers, receipts (BoP, current US$)",51080083.1619259,39188035.0105926,41177182.7192963,39329248.5023774,44130370.6547367,30908880.5407407,37251858.9333333,35389544.6481481,31699615.9821961
