Country Code,Indicator Name,2017,2018,2019,2020
PHL,"Claims on central government, etc. (% GDP)",17.787040266000513,17.22305591678272,19.82230275797688,26.386095900048943
PHL,Claims on other sectors of the domestic economy (% of GDP),64.55202390171128,65.63194571582545,66.67114937433327,73.88881798191746
PHL,Claims on other sectors of the domestic economy (annual growth as % of broad money),11.10587652268982,10.269600264505051,6.103887714646485,-0.6576911127662971
PHL,Claims on private sector (annual growth as % of broad money),9.496896358754396,9.103649499939689,4.966817443823887,-0.1485577783136843
PHL,Coal rents (% of GDP),0.063378916996683,0.0696404953218149,0.0549027596736656,0.0455449547968138
PHL,Combustible renewables and waste (% of total energy),,,,
PHL,"Commercial bank branches (per 100,000 adults)",8.99453539312217,9.02091679243253,9.19949995695592,9.16905913582668
PHL,"Commercial banks and other lending (PPG + PNG) (NFL, current US$)",-989230000.0,-184517000.0,-337772000.0,433774000.0
PHL,Commercial service exports (current US$),34812501415.61866,38378241753.85386,41244941365.33855,31800353958.436836
PHL,Commercial service imports (current US$),25844797492.54973,26270817294.489487,27685821539.009605,17552795140.089012
PHL,"Communications, computer, etc. (% of service exports, BoP)",71.87753563990657,70.54926703038832,68.52557001876441,88.60819414703374
PHL,"Communications, computer, etc. (% of service imports, BoP)",27.78930070206399,28.14123365398266,30.496356060947587,43.11269545409515
PHL,"Community health workers (per 1,000 people)",,,,
PHL,Compensation of employees (% of expense),35.86783342347407,38.0298010247497,38.50715569159023,33.54804299185696
PHL,Compensation of employees (current LCU),808419000000.0,987235000000.0,1115039000000.0,1178000000000.0
PHL,Completeness of birth registration (%),91.8,,,
PHL,"Completeness of birth registration, female (%)",91.2,,,
PHL,"Completeness of birth registration, male (%)",92.3,,,
PHL,"Completeness of birth registration, rural (%)",90.4,,,
PHL,"Completeness of birth registration, urban (%)",93.7,,,
PHL,Completeness of death registration with cause-of-death information (%),,,,
PHL,"Compulsory education, duration (years)",11.0,13.0,13.0,13.0
PHL,"Computer, communications and other services (% of commercial service exports)",71.86206912030374,70.53480886720399,68.51101196136834,88.60036814911672
PHL,"Computer, communications and other services (% of commercial service imports)",26.968661099159164,26.723938844484465,29.143653709499716,41.80648460875548
PHL,"Condom use, population ages 15-24, female (% of females ages 15-24)",,,,
PHL,"Condom use, population ages 15-24, male (% of males ages 15-24)",,,,
PHL,Consumer price index (2010 = 100),120.211352458706,126.593789832853,129.621996007385,132.7240608691
