DisNo.,Historic,Classification Key,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,External IDs,Event Name,ISO,Country,Subregion,Region,Location,Origin,Associated Types,OFDA/BHA Response,Appeal,Declaration,AID Contribution ('000 US$),Magnitude,Magnitude Scale,Latitude,Longitude,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No. Injured,No. Affected,No. Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damage ('000 US$),"Insured Damage, Adjusted ('000 US$)",Total Damage ('000 US$),"Total Damage, Adjusted ('000 US$)",CPI,Admin Units,Entry Date,Last Update
1972-0042-PHL,Yes,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,PHL,Philippines,South-eastern Asia,Asia,"Central, NorthLuzon",,,Yes,No,No,,,Km2,,,,1972,7.0,,1972,7.0,,653.0,,2400000.0,370647.0,2770647.0,,,,,220000.0,1603054.0,13.72380635,,2003-07-01,2023-09-25
1972-0064-PHL,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Therese (Undang),PHL,Philippines,South-eastern Asia,Asia,"South, Misamis province",,,Yes,No,No,,,Kph,,,,1972,12.0,3.0,1972,12.0,3.0,100.0,650.0,80000.0,27000.0,107650.0,,,,,10000.0,72866.0,13.72380635,,2003-07-01,2023-09-25
1973-0017-PHL,Yes,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,,,PHL,Philippines,South-eastern Asia,Asia,"Luzon, Tablas Is., Quezon city, Calaug, Lopez, Guiayangan",,,No,No,No,,7.0,Moment Magnitude,13.372,122.787,,1973,3.0,17.0,1973,3.0,17.0,14.0,64.0,,,64.0,,,,,450.0,3088.0,14.57162548,,2004-01-29,2023-09-25
1973-0042-PHL,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Nora (Luming),PHL,Philippines,South-eastern Asia,Asia,Northern Luzon,,,No,No,No,,,Kph,,,,1973,10.0,4.0,1973,10.0,4.0,26.0,,,,,,,,,2000.0,13725.0,14.57162548,,2003-07-01,2023-09-25
1973-0044-PHL,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Ruth,PHL,Philippines,South-eastern Asia,Asia,Central Luzon,,,No,No,No,,,Kph,,,,1973,10.0,14.0,1973,10.0,14.0,50.0,,,45000.0,45000.0,,,,,5000.0,34313.0,14.57162548,,2003-07-01,2023-09-25
1973-0049-PHL,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Vera,PHL,Philippines,South-eastern Asia,Asia,"(1) Central, (2) Capiz province",,,Yes,No,No,,,Kph,,,,1973,11.0,20.0,1973,11.0,20.0,270.0,24.0,3400000.0,,3400024.0,,,,,,,14.57162548,,2003-07-01,2023-09-25
1973-0083-PHL,Yes,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,PHL,Philippines,South-eastern Asia,Asia,Cotabato,,,No,No,No,,,Km2,,,,1973,9.0,7.0,1973,9.0,7.0,3.0,,5000.0,,5000.0,,,,,493.0,3383.0,14.57162548,,2003-07-01,2023-09-25
1974-0029-PHL,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Dinah (Bising),PHL,Philippines,South-eastern Asia,Asia,Luzon,,,No,No,No,,,Kph,,,,1974,6.0,8.0,1974,6.0,8.0,106.0,,1367.0,,1367.0,,,,,1000.0,6180.0,16.18249195,,2003-07-01,2023-09-25
1974-0038-PHL,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Ivy (Iliang),PHL,Philippines,South-eastern Asia,Asia,Luzon,,,No,No,No,,,Kph,,,,1974,7.0,17.0,1974,7.0,17.0,21.0,16.0,2400.0,140.0,2556.0,,,,,2000.0,12359.0,16.18249195,,2003-07-01,2023-09-25
1974-0039-PHL,Yes,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,PHL,Philippines,South-eastern Asia,Asia,Central Luzon,,,Yes,No,No,,,Km2,,,,1974,8.0,,1974,8.0,,94.0,,1200000.0,,1200000.0,,,,,17800.0,109995.0,16.18249195,,2003-07-01,2023-09-25
1974-0051-PHL,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Bess (Susang),PHL,Philippines,South-eastern Asia,Asia,North Luzon,,,No,No,No,,,Kph,,,,1974,10.0,10.0,1974,10.0,10.0,26.0,40.0,7142.0,,7182.0,,,,,9200.0,56852.0,16.18249195,,2003-07-01,2023-09-25
