DisNo.,Year,ISO,Country,Historic,Classification Key,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,External IDs,Event Name,Subregion,Region,Location,Origin,Associated Types,OFDA/BHA Response,Appeal,Declaration,AID Contribution ('000 US$),Magnitude,Magnitude Scale,Latitude,Longitude,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No. Injured,No. Affected,No. Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damage ('000 US$),"Insured Damage, Adjusted ('000 US$)",Total Damage ('000 US$),"Total Damage, Adjusted ('000 US$)",CPI,Admin Units,Entry Date,Last Update
2013-0265-JPN,2013,JPN,Japan,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,Eastern Asia,Asia,"Simane, Yamaguti provinces",,"Slide (land, mud, snow, rock)",No,No,No,,,Km2,,,,2013,7.0,28.0,2013,7.0,28.0,5.0,,3633.0,,3633.0,,,,,2000.0,2616.0,76.45414599,"[{""adm1_code"":1686,""adm1_name"":""Simane""},{""adm1_code"":1696,""adm1_name"":""Yamaguti""}]",2013-08-12,2023-09-25
2013-0316-JPN,2013,JPN,Japan,No,nat-met-ext-hea,Natural,Meteorological,Extreme temperature,Heat wave,,,Eastern Asia,Asia,"Ehime, Kagawa, Kooti, Tokusima provinces (Shikoko Isl.), Hukuoka, Kagosima, Kumamoto, Miyazaki, Nagasaki, Ooita, Saga provinces (Kyushu Isl.), Oosaka, Kyooto provinces (Honshu Isl.), Kobe city (Hyoogo province) (Honshu Isl.)",,,No,No,No,,41.0,°C,,,,2013,5.0,,2013,9.0,,338.0,54000.0,,,54000.0,,,,,,,76.45414599,"[{""adm1_code"":1654,""adm1_name"":""Ehime""},{""adm1_code"":1656,""adm1_name"":""Hukuoka""},{""adm1_code"":1662,""adm1_name"":""Hyoogo""},{""adm1_code"":1666,""adm1_name"":""Kagawa""},{""adm1_code"":1667,""adm1_name"":""Kagosima""},{""adm1_code"":1669,""adm1_name"":""Kooti""},{""adm1_code"":1670,""adm1_name"":""Kumamoto""},{""adm1_code"":1671,""adm1_name"":""Kyooto""},{""adm1_code"":1674,""adm1_name"":""Miyazaki""},{""adm1_code"":1676,""adm1_name"":""Nagasaki""},{""adm1_code"":1679,""adm1_name"":""Ooita""},{""adm1_code"":1682,""adm1_name"":""Oosaka""},{""adm1_code"":1683,""adm1_name"":""Saga""},{""adm1_code"":1689,""adm1_name"":""Tokusima""}]",2013-09-03,2023-09-25
2013-0326-JPN,2013,JPN,Japan,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,,Eastern Asia,Asia,Kosigayasi district (Saitama province),,,No,No,No,,,Kph,,,,2013,9.0,2.0,2013,9.0,4.0,,67.0,3864.0,,3931.0,,,,,2000.0,2616.0,76.45414599,"[{""adm2_code"":35945,""adm2_name"":""Kosigayasi""}]",2013-10-28,2023-09-25
2013-0393-JPN,2013,JPN,Japan,No,tec-mis-fir-fir,Technological,Miscellaneous accident,Fire (Miscellaneous),Fire (Miscellaneous),,Hopsital,Eastern Asia,Asia,Fukuoka prefecture,,,No,No,No,,,,,,,2013,10.0,10.0,2013,10.0,10.0,10.0,,,,,,,,,,,76.45414599,,2013-10-11,2023-09-25
2013-0396-JPN,2013,JPN,Japan,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Typhoon Wipha,Eastern Asia,Asia,"Tookyoo, Saitama, Ibaraki, Totigi, Hokkaidoo, Tiba, Kagosima provinces",,"Flood|Slide (land, mud, snow, rock)",No,No,No,,,Kph,,,,2013,10.0,14.0,2013,10.0,16.0,39.0,107.0,19182.0,,19289.0,,,,,200000.0,261595.0,76.45414599,"[{""adm1_code"":1661,""adm1_name"":""Hokkaidoo""},{""adm1_code"":1663,""adm1_name"":""Ibaraki""},{""adm1_code"":1667,""adm1_name"":""Kagosima""},{""adm1_code"":1684,""adm1_name"":""Saitama""},{""adm1_code"":1688,""adm1_name"":""Totigi""},{""adm1_code"":1690,""adm1_name"":""Tookyoo""},{""adm1_code"":1693,""adm1_name"":""Tiba""}]",2014-03-20,2023-09-25
2013-0413-JPN,2013,JPN,Japan,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Tropical storm Toraji,Eastern Asia,Asia,Kagosima province,,,No,No,No,,,Kph,,,,2013,9.0,4.0,2013,9.0,4.0,1.0,19.0,4317.0,,4336.0,,,,,2000.0,2616.0,76.45414599,"[{""adm1_code"":1667,""adm1_name"":""Kagosima""}]",2013-10-28,2023-09-25
2013-0415-JPN,2013,JPN,Japan,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Tropical storm Man-Yi,Eastern Asia,Asia,"Aiti, Kyooto provinces",,Flood,No,No,No,,,Kph,,,,2013,9.0,16.0,2013,9.0,16.0,6.0,141.0,30147.0,,30288.0,,,,,2000.0,2616.0,76.45414599,"[{""adm1_code"":1651,""adm1_name"":""Aiti""},{""adm1_code"":1671,""adm1_name"":""Kyooto""}]",2013-10-28,2023-09-25
2013-0429-JPN,2013,JPN,Japan,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Tropical storm Fitow,Eastern Asia,Asia,Okinawa province,,,No,No,No,,,Kph,,,,2013,10.0,7.0,2013,10.0,7.0,,,4392.0,,4392.0,,,,,,,76.45414599,"[{""adm1_code"":1681,""adm1_name"":""Okinawa""}]",2013-11-13,2023-09-25
2013-0588-JPN,2013,JPN,Japan,No,tec-tra-wat-wat,Technological,Transport,Water,Water,,,Eastern Asia,Asia,North Pacific Ocean,,,No,No,No,,,,,,,2013,2.0,27.0,2013,2.0,27.0,20.0,,,,,,,,,,,76.45414599,,2014-03-26,2023-09-25
2014-0061-JPN,2014,JPN,Japan,No,nat-met-sto-bli,Natural,Meteorological,Storm,Blizzard/Winter storm,,,Eastern Asia,Asia,"Aiti, Akita, Aomori, Gifu, Gunma, Hirosima, Hukui, Hukusima, Hyoogo, Ibaraki, Iwate, Kanagawa, Kyooto, Mie, Miyagi, Nagano, Nara, Niigata, Okayama, Okinawa, Oosaka, Saitama, Siga, Simane, Sizuoka, Tiba, Tookyoo, Totigi, Tottori, Toyama, Wakayama, Yamagata, Yamaguti, Yamanasi provinces",,,No,No,No,,,Kph,,,,2014,2.0,8.0,2014,2.0,9.0,37.0,2800.0,,,2800.0,,,3100000.0,3989991.0,5900000.0,7593854.0,77.69440613,"[{""adm1_code"":1651,""adm1_name"":""Aiti""},{""adm1_code"":1652,""adm1_name"":""Akita""},{""adm1_code"":1653,""adm1_name"":""Aomori""},{""adm1_code"":1655,""adm1_name"":""Hukui""},{""adm1_code"":1657,""adm1_name"":""Hukusima""},{""adm1_code"":1658,""adm1_name"":""Gifu""},{""adm1_code"":1659,""adm1_name"":""Gunma""},{""adm1_code"":1660,""adm1_name"":""Hirosima""},{""adm1_code"":1662,""adm1_name"":""Hyoogo""},{""adm1_code"":1663,""adm1_name"":""Ibaraki""},{""adm1_code"":1665,""adm1_name"":""Iwate""},{""adm1_code"":1668,""adm1_name"":""Kanagawa""},{""adm1_code"":1671,""adm1_name"":""Kyooto""},{""adm1_code"":1672,""adm1_name"":""Mie""},{""adm1_code"":1673,""adm1_name"":""Miyagi""},{""adm1_code"":1675,""adm1_name"":""Nagano""},{""adm1_code"":1677,""adm1_name"":""Nara""},{""adm1_code"":1678,""adm1_name"":""Niigata""},{""adm1_code"":1680,""adm1_name"":""Okayama""},{""adm1_code"":1681,""adm1_name"":""Okinawa""},{""adm1_code"":1682,""adm1_name"":""Oosaka""},{""adm1_code"":1684,""adm1_name"":""Saitama""},{""adm1_code"":1685,""adm1_name"":""Siga""},{""adm1_code"":1686,""adm1_name"":""Simane""},{""adm1_code"":1687,""adm1_name"":""Sizuoka""},{""adm1_code"":1688,""adm1_name"":""Totigi""},{""adm1_code"":1690,""adm1_name"":""Tookyoo""},{""adm1_code"":1691,""adm1_name"":""Tottori""},{""adm1_code"":1692,""adm1_name"":""Toyama""},{""adm1_code"":1693,""adm1_name"":""Tiba""},{""adm1_code"":1694,""adm1_name"":""Wakayama""},{""adm1_code"":1695,""adm1_name"":""Yamagata""},{""adm1_code"":1696,""adm1_name"":""Yamaguti""},{""adm1_code"":1697,""adm1_name"":""Yamanasi""}]",2014-02-10,2023-09-25
2014-0068-JPN,2014,JPN,Japan,No,nat-met-sto-bli,Natural,Meteorological,Storm,Blizzard/Winter storm,,,Eastern Asia,Asia,"Ibaraki, Kanagawa, Nagano, Niigata, Saitama, Tiba, Tookyoo, Totigi, Yamanasi, Akita, Aomori, Hukusima, Iwate, Miyagi, Yamagata provinces",,,No,No,No,,,Kph,,,,2014,2.0,14.0,2014,2.0,17.0,24.0,1600.0,,,1600.0,,,,,185000.0,238112.0,77.69440613,"[{""adm1_code"":1652,""adm1_name"":""Akita""},{""adm1_code"":1653,""adm1_name"":""Aomori""},{""adm1_code"":1657,""adm1_name"":""Hukusima""},{""adm1_code"":1663,""adm1_name"":""Ibaraki""},{""adm1_code"":1665,""adm1_name"":""Iwate""},{""adm1_code"":1668,""adm1_name"":""Kanagawa""},{""adm1_code"":1673,""adm1_name"":""Miyagi""},{""adm1_code"":1675,""adm1_name"":""Nagano""},{""adm1_code"":1678,""adm1_name"":""Niigata""},{""adm1_code"":1684,""adm1_name"":""Saitama""},{""adm1_code"":1688,""adm1_name"":""Totigi""},{""adm1_code"":1690,""adm1_name"":""Tookyoo""},{""adm1_code"":1693,""adm1_name"":""Tiba""},{""adm1_code"":1695,""adm1_name"":""Yamagata""},{""adm1_code"":1697,""adm1_name"":""Yamanasi""}]",2014-02-28,2023-09-25
