Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2013 [YR2013],2012 [YR2012],2011 [YR2011],2010 [YR2010],2009 [YR2009],2008 [YR2008],2007 [YR2007],2006 [YR2006],2005 [YR2005],2004 [YR2004],2003 [YR2003],2002 [YR2002],2001 [YR2001],1999 [YR1999],1998 [YR1998],1997 [YR1997],1996 [YR1996],1995 [YR1995],1994 [YR1994],1993 [YR1993],1992 [YR1992],1991 [YR1991],1989 [YR1989],1988 [YR1988],1987 [YR1987],1986 [YR1986],1985 [YR1985],1984 [YR1984],1983 [YR1983],1982 [YR1982],1981 [YR1981],1980 [YR1980],1979 [YR1979],1978 [YR1978],1977 [YR1977],1976 [YR1976],1975 [YR1975],1974 [YR1974],1973 [YR1973],1972 [YR1972],1971 [YR1971],1970 [YR1970],1969 [YR1969],1968 [YR1968],1967 [YR1967],1966 [YR1966],1965 [YR1965],1964 [YR1964],1963 [YR1963],1962 [YR1962],1961 [YR1961],1960 [YR1960]
"Adjusted net enrollment rate, primary, female (% of primary school age children)",SE.PRM.TENR.FE,Puerto Rico,PRI,..,..,88.23688,85.88144,80.3519,..,..,..,..,..,..,..,88.45844,89.99319,89.51948,92.84468,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Adjusted net enrollment rate, primary, male (% of primary school age children)",SE.PRM.TENR.MA,Puerto Rico,PRI,..,..,83.05247,81.63423,77.32875,..,..,..,..,..,..,..,84.68848,84.42795,84.1203,87.44943,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,Puerto Rico,PRI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,Puerto Rico,PRI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,Puerto Rico,PRI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,Puerto Rico,PRI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,Puerto Rico,PRI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Puerto Rico,PRI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS,Puerto Rico,PRI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Adjusted net savings, excluding particulate emission damage (current US$)",NY.ADJ.SVNX.CD,Puerto Rico,PRI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Adjusted net savings, including particulate emission damage (% of GNI)",NY.ADJ.SVNG.GN.ZS,Puerto Rico,PRI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Adjusted net savings, including particulate emission damage (current US$)",NY.ADJ.SVNG.CD,Puerto Rico,PRI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Adjusted savings: carbon dioxide damage (% of GNI),NY.ADJ.DCO2.GN.ZS,Puerto Rico,PRI,0.0493961599595839,0.0752418550739724,0.211071297821296,0.208576572674009,0.232757720391863,0.06776151609334,0.0723486076611074,0.0716800743713575,0.0722051115748961,0.0773415114441015,..,..,0.200053739257677,0.172051801022067,0.109973391997781,0.104404855452029,0.0950347079103289,0.104322637181975,0.0995249735875121,0.099424268926536,0.0986781709428766,0.0993520438495317,0.107952674570217,0.098378820049574,0.0968782833150331,0.0465181588983515,0.0450321873481475,0.0482797335142692,0.049142041043681,0.0496209195282206,0.049945713428557,0.0489840547382088,0.0489433074543799,0.0496508197306196,0.0595535503909904,0.0556669910277634,0.0539977200438437,0.0494588310144857,0.0506855575424842,0.0549058855671719,0.0540510130011299,0.0539921437746041,0.0577210294418059,0.0589436642712523,0.0613899346089642,0.0710469859112874,0.0712394462790994,0.0769687988885285,0.0756669028237988,0.0795337941580806,0.0788577997426687,0.0799891085895625,0.0777920092647638,0.0757615807122742,..,..,..,..,..,..,..,..,..,..
Adjusted savings: carbon dioxide damage (current US$),NY.ADJ.DCO2.CD,Puerto Rico,PRI,10679014.6030928,31164122.9856683,145211776.118606,145173466.112564,162895956.131686,46788988.0548708,48908454.6135929,50724476.3089655,50910885.5050088,56908502.8526614,..,..,137926850.477466,117142673.088482,72275283.034686,67126684.1934599,60459085.4436851,65413527.5148508,60354641.7074014,57521234.1058731,54136700.0249104,51490703.895525,51255282.1698918,44340613.1210037,42671589.9386394,17807709.4441957,15811116.203246,15614972.2681036,14918025.3200301,14118315.7125509,13305993.0628169,12311131.6173995,11597821.9743757,11324832.6329799,11941320.6030991,10399428.9288516,9341875.55618517,7940269.10755858,7603948.71363856,7787301.74999199,7052846.43145243,6853492.77002937,7048718.95234501,6521880.67695699,6161707.73670173,6391884.18148079,5828597.77621707,5810990.37848612,5428797.60999627,5417523.92287182,4970407.11778041,4613691.79433738,4082835.81425186,3551324.09588785,..,..,..,..,..,..,..,..,..,..
Adjusted savings: consumption of fixed capital (% of GNI),NY.ADJ.DKAP.GN.ZS,Puerto Rico,PRI,11.329346764731,13.6519288387609,18.258302011512,18.8706260920014,19.0689984020544,18.6585237624724,18.5356035598382,18.588586197439,19.4205444409169,19.1462714070682,..,..,18.0792020840868,18.2120685380498,18.7570202918321,18.9524159956531,17.4946801916898,16.7178929679887,16.4454324933573,13.9171967509973,15.0215169946948,14.1816647824435,14.1564554327535,13.8926164508855,14.4573617804539,13.6893572943528,14.3422779501479,12.8169730400812,11.9068706766081,12.2279648698322,12.084739678822,12.4089000664441,12.1715670587136,11.8339507632995,10.4089596199591,10.6821874204017,10.6985195588447,9.09060044694576,9.16003005198721,9.43158260681653,8.68340334730542,8.76586711992453,8.58428783815443,8.0279321921025,7.61146949098095,7.79364207684621,7.88195870467695,7.98289698006842,7.65146257101369,7.91619967117724,8.16514114239487,7.91075315914496,7.74954133333829,7.67462424029098,..,..,..,..,..,..,..,..,..,..
