Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,NaN_count
Japan,JPN,"Adjusted net savings, excluding particulate emission damage (current US$)",NY.ADJ.SVNX.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,714334362962.452,614307127983.329,480958568732.27,454635606884.118,520574602191.513,395357373838.87,316394630756.329,362447069441.069,433027658396.019,427328191676.997,397939949214.845,406318382061.432,311362574884.963,94690974254.6749,230082367577.468,205095165980.862,194426650644.868,178171537377.465,179192327025.727,282874222717.734,356384569511.406,378017082466.998,360715127293.841,357044862469.671,251311379064.054,185946715861.798,,,38
Japan,JPN,"Adjusted net savings, including particulate emission damage (% of GNI)",NY.ADJ.SVNG.GN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.2300693401503,13.3918533513753,11.4837072503354,9.57806451741105,10.2258901963106,8.80028563489023,7.36150145473882,7.80257956750673,8.59817885818702,8.5710230589194,8.34486535379125,8.53239151382432,5.86202909559886,1.66823174381576,3.81825083496632,3.12386407249754,2.94288764587388,3.2300085137014,3.45114060061518,6.04660876983413,6.80675733879101,7.31897701838044,6.82161441618955,6.63193437966196,4.73441170625144,3.55101210531503,,,38
Japan,JPN,"Adjusted net savings, including particulate emission damage (current US$)",NY.ADJ.SVNG.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,709049354950.87,609518271972.354,476456215642.393,449489307821.336,515408949027.634,390972430411.083,312414271067.803,358339995792.394,428840617616.674,423288776120.544,394263895897.313,402736763075.472,307396742041.309,90458802426.2642,225753205899.37,200377039987.791,189684900045.761,174149320664.617,175284166362.485,279339488633.694,352439919941.369,374237709265.827,356813537054.256,353047402930.168,247272983451.681,182142111391.38,,,38
Japan,JPN,Adjusted savings: carbon dioxide damage (% of GNI),NY.ADJ.DCO2.GN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.418601996723463,0.391727100580709,0.378863571011986,0.345608837213905,0.337239757462066,0.320086014667875,0.3784403249819,0.426553008726485,0.466378884854165,0.440784790433596,0.435518281642171,0.511248882863989,0.572972033485881,0.555887552861769,0.535174660996181,0.571371483542232,0.617435573950561,0.668409167790478,0.592769288161856,0.560749596647418,0.55899016482746,0.564314080683717,0.604289845317787,0.75710010697244,0.806874968305143,0.887759372735125,0.809942415703026,0.845359290263633,0.836024386198061,0.828509586952811,0.817480494834382,0.884807900763843,,,32
Japan,JPN,Adjusted savings: carbon dioxide damage (current US$),NY.ADJ.DCO2.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13214605227.2416,14141159688.9954,14937278105.2371,15530933449.3461,16998097614.5816,17901395246.096,18856750582.2834,19414180096.0564,19349946292.5306,20685604068.5476,21951147089.8151,22713378471.0135,24316322055.2647,25529601028.7509,26692237500.4872,28217767507.5889,29171537769.7191,31549530305.7479,31084006065.3922,30406289271.1255,33050165437.109,36197344854.5187,38949723095.438,40819851943.1359,40981351542.9978,41012451549.1683,41937155379.5093,43225347408.5718,43729357906.097,44105255153.5266,42696084205.0009,45384463482.8704,,,32
Japan,JPN,Adjusted savings: consumption of fixed capital (% of GNI),NY.ADJ.DKAP.GN.ZS,,,,,,,,,,,17.547354080878,17.8701034317484,18.3200718253676,17.943667378996,17.5005601747189,16.9481073054934,16.4214881024686,16.3717473656459,16.1373095685603,16.4491666706238,16.8777308268787,17.5830336752471,17.789519305419,18.0070851092426,18.0451919572765,18.1665345138916,18.419119219632,18.7114784064127,18.7446550355673,19.4694108116802,19.770512456485,20.4778557238134,21.3118792532009,22.0781013077356,22.2785516319435,21.8536799620173,21.5903671330161,22.0904072454408,22.7709234841164,23.0686501795187,22.8248032175661,22.8280924853601,23.0584517030473,22.8392873980651,22.5448171256282,22.5928532625559,22.8819173381136,23.0508625863293,24.2445521476983,25.361550038493,24.27565503755,24.1522451335992,23.7563930098323,23.4308499864573,23.4523852480142,22.9143929349948,22.757773597815,22.6794170969907,22.9227833959713,23.1695464614167,24.3212313474121,25.2032371597744,,,12
Japan,JPN,Adjusted savings: consumption of fixed capital (current US$),NY.ADJ.DKAP.CD,,,,,,,,,,,37266386977.3999,42901874038.9065,58328399437.5247,77626991140.5985,83870132868.1633,88389725495.6,96266423935.7236,118172232271.681,163796634709.903,173939511491.939,186698203340.274,214196427286.518,202124127999.178,224421671150.808,238655711977.868,255361740479.12,384667672568.673,477063881849.26,579796887908.16,599435375929.339,624123915551.469,739240730215.933,840253568058.732,992143386328.219,1122919190196.22,1222206983918.64,1075794890585.95,1005425201286.57,944760066885.862,1082589450375.42,1150423837170.93,1014189217366.42,978576099597.504,1048913385543.23,1124439658638.12,1115771261007.9,1081085612870.47,1088022012242.94,1271350964130.91,1375213877005.1,1435292542817.57,1549220861284.44,1531227004141.97,1263299025506.32,1191151643221.15,1058592518296.59,1178350792549.68,1159655656869.4,1199006411625.04,1233418145746.19,1270270481241.02,1292749980578.21,,,12
Japan,JPN,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,,,,,,,,,,,2.8678781,2.7,2.9,2.9,2.9,3.4,3.6,3.7,3.6,3.6,3.5,3.6,3.6,3.5,4.843854,4.3,4.2,4.2,4.1,4.0,4.0822806,4.0822806,3.5724805,3.4,3.6,3.5,3.2799471,3.2383795,2.87263337932368,2.92019003151211,3.00522180793149,2.97449212976975,2.99673421386986,3.03281893642389,3.00687921063072,2.94905073748829,2.8894822768945,2.89441227969762,2.89050099446149,2.96569777039646,3.04089454633144,3.06519874348904,3.15831219442757,3.08732970145975,2.94838724294654,2.82210330541024,2.69581936787388,2.68036887840285,2.65545355873672,2.64903894986104,2.64903894986104,2.64903894986104,,,12
Japan,JPN,Adjusted savings: education expenditure (current US$),NY.ADJ.AEDU.CD,,,,,,,,,,,6090687780.3917,6482058727.16173,9233171134.98422,12545834112.5543,13898034285.1557,17732072453.166,21104002512.2027,26706816910.8637,36540656448.9833,38067718195.674,38716324984.2992,43855181789.0792,40903121006.501,43620377438.2485,64062129559.1535,60443860837.6603,87713435453.8756,107082308529.945,126818404281.8,123154291976.771,128871163965.003,147368363777.512,140850529945.377,152788841146.138,181452957602.062,195743895359.963,163431696637.355,147391957262.435,119184858948.803,137041694967.193,151470256758.647,132148485340.524,127178204170.214,139284747501.076,149970355240.727,145641899316.764,136517306309.453,136618933934.601,151573896013.536,160813070284.037,179792193417.353,196614012946.978,203570168148.708,166456641800.237,149749216216.096,130374714854.65,139583992039.096,137054004476.552,138896999884.292,141020141028.14,138356316487.415,135877190270.206,,,12
Japan,JPN,Adjusted savings: energy depletion (% of GNI),NY.ADJ.DNGY.GN.ZS,,,,,,,,,,,0.0039717258997729,0.0046131474941023,0.0073982654820697,0.0143276382648685,0.085631891995983,0.0911922196238932,0.0894520774572762,0.0792573010271163,0.0552816350578079,0.114543540698783,0.0183815514421471,0.0103384114736546,0.0085879000253037,0.0080116309338389,0.0075915041676825,0.0092207614646027,0.0048610531218741,0.0039022219827927,0.0026078774327708,0.0029801745429298,0.0043952334964962,0.0030913223894508,0.0032861006638701,0.0031616937999039,0.002824715916123,0.002769222542116,0.0035827112264955,0.0036174603822008,0.0024219750976741,0.002676677026692,0.0044990009708632,0.0037954824084991,0.0038294057591234,0.0044795773540641,0.0048269121204278,0.0057775573288303,0.0060768286195085,0.0068550456214849,0.0073920173542431,0.0057956753196895,0.005729487488349,0.0063666074977563,0.0060605729681951,0.0061204933026938,0.0082317228176372,0.0080119430043036,0.0052854361299092,0.0063023213081212,0.0080014947763808,0.0069206667751621,0.0045870055407853,0.0090532287927575,,,12
