Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Philippines,PHL,"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.794778071092,14.2306138865787,13.6789369274965,12.4002613728283,14.3215444121919,13.832883074851,14.8386212423503,16.1088306615541,19.6089067630104,25.632030255335,24.002958807775,24.4272355572599,24.9706658213354,24.9474967356231,22.7580972393314,23.770503124352,23.4338978784687,21.9720893431659,22.7456062023997,24.4295302819114,25.519648922815,23.0907477350259,22.8448270713282,23.9549664622746,24.5816902899663,23.9109316390168,23.646479018576,23.9286457951043,22.2619003691315,19.9159312935531,13.6207770128426,8.36106773717828,,
Philippines,PHL,"Adjusted net savings, excluding particulate emission damage (current US$)",NY.ADJ.SVNX.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7860158617.45605,7339610858.05896,8345288112.59641,7807282301.21719,10742482085.9273,12031041436.0007,14531466535.4345,15913459034.1331,16646231677.0858,24887673733.4507,21976620316.3878,21124302304.087,23059119634.2859,23757617556.6645,23637412203.2088,28026349590.4837,32665466172.0471,37350187970.735,45181608522.4733,47954492926.3223,59141087482.382,59919465647.3251,66438172563.7717,76006210245.0392,81553691274.6198,81647971067.2979,83711469931.0421,87272279905.1826,85444993448.44,82561921761.4964,53007400158.177,34127687821.7821,,
Philippines,PHL,"Adjusted net savings, including particulate emission damage (% of GNI)",NY.ADJ.SVNG.GN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.5127855423843,13.0294860973453,12.5259628867196,11.3158529944678,13.3199390562088,12.8927611264436,13.9573723389999,15.2705742995641,18.8098294174552,24.8216189300055,23.1622984664833,23.6051068034137,24.1602489478802,24.189693235363,22.0314989501059,23.0320120996382,22.6974163102064,21.2369523784064,21.9899811549131,23.6645105182141,24.7573382198441,22.3072943641755,22.0834543358531,23.2279983710367,23.8648704230468,23.2118992131236,22.9741362799062,23.3069065622023,21.6589314859067,19.3197761250478,12.9361499491434,7.68476470664544,,
Philippines,PHL,"Adjusted net savings, including particulate emission damage (current US$)",NY.ADJ.SVNG.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7222184182.06474,6720114704.62263,7641878146.77617,7124531987.72647,9991185488.00882,11213377753.3844,13668459202.12,15085369239.3557,15967885516.1915,24100796827.7285,21206928826.1192,20413337844.4198,22310741526.455,23035957747.1425,22882740005.0917,27155639891.1648,31638854471.3743,36100534221.8737,43680643686.3849,46452780268.5934,57374453305.3398,57886438918.1932,64223920163.1339,73699628448.2715,79175526655.4794,79261005132.8004,81331293207.5942,85004679773.2539,83130695413.5698,80090547681.4011,50343066053.7127,31367196049.144,,
Philippines,PHL,Adjusted savings: carbon dioxide damage (% of GNI),NY.ADJ.DCO2.GN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00029760528607,1.00956659411545,0.966572156297266,1.06455852809981,1.00560440733565,1.08535727862079,1.09257705956294,1.25343267593432,1.49672009961129,1.30861954976076,1.46168844015384,1.58165838378144,1.5618991551154,1.62466757046427,1.59610209464625,1.51294664302972,1.22219512452721,1.1092777668224,1.01533827344555,1.07348101873148,1.01033143214482,0.949811827444508,0.920701010151856,0.972956850604377,1.0333658165785,1.13045456280186,1.23718068087587,1.36959797882588,1.41447534301083,1.43047637226533,1.44045236723713,1.56439012751708,,
Philippines,PHL,Adjusted savings: carbon dioxide damage (current US$),NY.ADJ.DCO2.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,497790966.534698,520696155.145622,589689328.10121,670252723.322056,754296256.075311,943980970.65476,1069961064.38172,1238230754.27378,1270583303.54648,1270617117.38118,1338292171.7013,1367794147.74435,1442333165.33047,1547178508.72349,1657771417.91783,1783823056.14137,1703667640.05432,1885652859.65672,2016856177.86969,2107213578.20853,2341415424.45976,2464719541.31028,2677616792.68215,3087074367.76623,3428356463.07803,3860130706.32227,4379773127.53617,4995181891.57699,5428999070.72288,5930070584.59125,5605747378.94463,6385430615.03754,,
Philippines,PHL,Adjusted savings: consumption of fixed capital (% of GNI),NY.ADJ.DKAP.GN.ZS,,,,,,,,,,,11.4229879582757,10.6573204518094,10.7556106650928,9.51787725898449,7.78831579772462,7.66410239462812,7.39856457083525,7.26953911595145,7.2291514269002,7.69579559004647,7.1053988889935,7.19493261011856,7.35230961840716,8.06253267120789,9.62035698703343,10.2979946723281,10.2554411379218,9.68148138792207,8.64670001935488,8.06886237520226,7.7688126135278,7.91618869769266,7.99330556075451,8.79266217775545,8.73038920276042,8.78189329752292,8.47410648346484,8.17094528647472,7.85099575575571,7.53058197707639,7.50240927964417,7.93430877947495,7.99078941931211,8.13139413525375,10.4759143057062,10.5763591583846,10.5629047172428,10.5394182304177,10.3568885428797,9.86117708467007,9.89032615317717,9.38347995215197,8.98446778484244,8.96355689812534,8.93033632400427,8.45808307883466,8.2764240030051,8.13283535984195,8.27840048042466,8.96529299995707,9.45734892678617,10.1233060938866,,
Philippines,PHL,Adjusted savings: consumption of fixed capital (current US$),NY.ADJ.DKAP.CD,,,,,,,,,,,848625774.384712,881763760.140118,961620826.056025,1075322282.93688,1211318723.78062,1283701948.9312,1415171329.15096,1609634769.37722,1852548015.17092,2385350830.74992,2587021808.36741,2876004649.25433,3026358514.11458,2975093628.40073,3295472720.42707,3464715247.15759,3350060880.23946,3540560758.48324,3626432840.56582,3794522683.81721,3866094169.65363,4082869859.52351,4876580558.12995,5535915230.89925,6548598874.15399,7637982738.47356,8298695193.50798,8071846170.48511,6664802674.90769,7311893182.14355,6869053166.20706,6861469724.59135,7379081139.07272,7743564579.44788,10880676975.996,12469939639.7602,14724063769.0361,17915877086.6155,20572803357.7717,19357218141.1186,22920559997.6498,24349714054.1908,26128962115.5493,28440281526.3886,29627819851.0883,28881573203.8909,29299567961.8876,29661982964.8743,31773921501.9694,37165815061.3802,36804763672.806,41320683070.2104,,
Philippines,PHL,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,,,,,,,,,,,2.757732,2.8,2.2056231,2.2056231,2.2056231,2.2056231,1.8,1.8,2.2,2.0,1.7,1.8,1.7,1.7,1.3,1.3,1.7,1.9,2.0,2.250849,2.250849,2.250849,2.250849,2.250849,2.250849,2.5,2.8,2.9,3.03212464060753,2.80106232030368,2.57,2.37,2.45,2.34,1.96,1.8,1.88,1.88,1.88,1.84,1.84,1.84,1.84,1.84,1.84,1.84,1.84,1.84,1.84,1.84,1.84,1.84,,
Philippines,PHL,Adjusted savings: education expenditure (current US$),NY.ADJ.AEDU.CD,,,,,,,,,,,204874807.063944,231665974.53426,197196902.47564,249189562.194814,343041118.005719,369431738.550652,344297649.64316,398559322.491489,563773725.669988,619910132.1857,618957097.684852,719507554.716694,699754191.677987,627304021.519522,445317626.188865,437379311.664239,555325063.038798,694838441.719298,838801584.985802,1058500838.30847,1120118945.91433,1160902536.7368,1373204913.69407,1417148641.63418,1688344801.69912,2174355369.53859,2742040896.8382,2864828128.6566,2574006284.5607,2719719212.26453,2353039667.54389,2049540003.95704,2262448406.79139,2228392919.40712,2035729412.30874,2122270151.3284,2620608689.25582,3195797736.31415,3734410209.44469,3611869158.6046,4264149608.66864,4774718344.17209,5351156177.96764,5838097376.2212,6104494449.94233,6282995118.37866,6513828318.88488,6710826697.02898,7062235718.34551,7627759596.1746,7160649954.04333,7510397902.03533,,
